shade_00s_70s,phosphorous_p1-p4,c3_c4,species_code,usda_code,block,rep,individual,id_v0,id_v0_noncat,id_barcode_v0,,
70s,p2,c3,patr,patr3,6,6,366,70s-p2-c3-patr-6-366,70s-p2-c3-patr-6-366,*70s-p2-c3-patr-6-366*,,*
70s,p2,c3,diac,diac2,6,6,367,70s-p2-c3-diac-6-367,70s-p2-c3-diac-6-367,*70s-p2-c3-diac-6-367*,,*
70s,p2,c3,diol,diol,6,6,368,70s-p2-c3-diol-6-368,70s-p2-c3-diol-6-368,*70s-p2-c3-diol-6-368*,,*
70s,p3,c4,pavi,pavi2,6,6,369,70s-p3-c4-pavi-6-369,70s-p3-c4-pavi-6-369,*70s-p3-c4-pavi-6-369*,,*
70s,p3,c4,paha,paha,6,6,370,70s-p3-c4-paha-6-370,70s-p3-c4-paha-6-370,*70s-p3-c4-paha-6-370*,,*
70s,p3,c4,paan,paan4,6,6,371,70s-p3-c4-paan-6-371,70s-p3-c4-paan-6-371,*70s-p3-c4-paan-6-371*,,*
70s,p3,c4,paco,paco2,6,6,372,70s-p3-c4-paco-6-372,70s-p3-c4-paco-6-372,*70s-p3-c4-paco-6-372*,,*
70s,p3,c3,dicl,dicl,6,6,373,70s-p3-c3-dicl-6-373,70s-p3-c3-dicl-6-373,*70s-p3-c3-dicl-6-373*,,*
70s,p3,c3,patr,patr3,6,6,374,70s-p3-c3-patr-6-374,70s-p3-c3-patr-6-374,*70s-p3-c3-patr-6-374*,,*
70s,p3,c3,diac,diac2,6,6,375,70s-p3-c3-diac-6-375,70s-p3-c3-diac-6-375,*70s-p3-c3-diac-6-375*,,*
70s,p3,c3,diol,diol,6,6,376,70s-p3-c3-diol-6-376,70s-p3-c3-diol-6-376,*70s-p3-c3-diol-6-376*,,*
70s,p4,c4,pavi,pavi2,6,6,377,70s-p4-c4-pavi-6-377,70s-p4-c4-pavi-6-377,*70s-p4-c4-pavi-6-377*,,*
70s,p4,c4,paha,paha,6,6,378,70s-p4-c4-paha-6-378,70s-p4-c4-paha-6-378,*70s-p4-c4-paha-6-378*,,*
70s,p4,c4,paan,paan4,6,6,379,70s-p4-c4-paan-6-379,70s-p4-c4-paan-6-379,*70s-p4-c4-paan-6-379*,,*
70s,p4,c4,paco,paco2,6,6,380,70s-p4-c4-paco-6-380,70s-p4-c4-paco-6-380,*70s-p4-c4-paco-6-380*,,*
70s,p4,c3,dicl,dicl,6,6,381,70s-p4-c3-dicl-6-381,70s-p4-c3-dicl-6-381,*70s-p4-c3-dicl-6-381*,,*
70s,p4,c3,patr,patr3,6,6,382,70s-p4-c3-patr-6-382,70s-p4-c3-patr-6-382,*70s-p4-c3-patr-6-382*,,*
70s,p4,c3,diac,diac2,6,6,383,70s-p4-c3-diac-6-383,70s-p4-c3-diac-6-383,*70s-p4-c3-diac-6-383*,,*
70s,p4,c3,diol,diol,6,6,384,70s-p4-c3-diol-6-384,70s-p4-c3-diol-6-384,*70s-p4-c3-diol-6-384*,,*
